name,roaster,roast,loc_country,origin,centg_USD,rating,review_date,review,name_extended,roaster_extended,roast_extended,loc_country_extended,origin_1_extended,origin_2_extended,centg_USD_extended,rating_extended,review_date_extended,desc_extended
Ethiopia Sidamo Bensa Asefa Dukamo Washed,GK Coffee,Medium-Light,Taiwan,Ethiopia,8,93,January 2020,"Delicate, crisply sweet. Pear, lilac, cocoa nib, maple syrup, oak in aroma and cup. Deeply sweet structure with vibrant acidity",Ethiopia Kochere Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,94,February 2019,"Richly bittersweet, complexly fruit-toned. Chocolate fudge, dried mulberry, candied pink grapefruit zest, pistachio brittle, wisteria-like flowers in aroma and cup. Deeply sweet structure with high-toned, lively acidity"
Panama Esmeralda Geisha Natural,Paradise Roasters,Medium-Light,United States,Panama,17.59,96,December 2019,"Vibrantly sweet, resonantly floral, cocoa-toned. Lavender, cocoa nib, kumquat, fine musk, toffee in aroma and cup. Sweetly tart structure with bright, juicy acidity",Kenya Thirikwa Single-Origin Espresso,Temple Coffee Roasters,Medium,United States,Nyeri Growing Region,South-Central Kenya,6.47,94,February 2019,"Evaluated as espresso. Floral-toned, sweetly roast-deep. Frangipane, chocolate fudge, black currant, jasmine, gently scorched cedar in aroma and small cup. Velvety-smooth mouthfeel"
Ethiopia Suke Quto Honey,Paradise Roasters,Medium-Light,United States,Ethiopia,5.81,95,December 2019,"Delicate, complex, multi-layered. Bergamot, dark chocolate, nougat, narcissus, cedar in aroma and cup. Richly sweet-savory structure with citrusy acidity",Mocha Java Blend Fair Trade Organic,Thanksgiving Coffee Company,Medium-Light,United States,Ethiopia,Sumatra,4.26,92,February 2019,"Deep, chocolaty, cleanly fruit-toned. Dark chocolate, cedar, black cherry, magnolia, molasses in aroma and cup. Sweetly tart structure with gentle, rounded acidity. Consolidates to resonant chocolate and cherry in the finish."
Single-Origin Espresso,Guorizi Zhai Coffee,Medium,Taiwan,Colombia,6.61,93,December 2019,"Evaluated as espresso. Richly sweet, deeply chocolaty, gently smoky. Persimmon, dark chocolate, almond butter, gardenia, gently scorched oak in aroma and small cup. Crisp, velvety mouthfeel",Sumatra Tano Batak,Origin Coffee Roasters,Medium-Light,Hawai'i,Lintong Growing Region,North Sumatra Province,6.17,95,February 2019,"Nuanced, layered, richly sweet-savory. Fine musk, wisteria-like flowers, dark chocolate, pipe tobacco, black cherry in aroma and cup. Balanced sweet-tart-savory structure with juicy, vibrant acidity"
Kenya FSC AB,Black Coffee In Black Jar,Medium,Taiwan,Kenya,32,94,December 2019,"Richly sweet, deeply chocolaty. Chocolate fudge, red currant, wisteria, cedar, agave syrup in aroma and cup. Crisp, sweetly tart structure with vibrant, juicy acidity",Moonbow Decaf,Paradise Roasters,Medium-Dark,United States,South America,Lintong Growing Region,4.1,92,February 2019,"Richly and sweetly tart, chocolaty. Dark chocolate, hazelnut butter, lightly scorched cinnamon, date, fir in aroma and cup. Sweet in structure with gentle, rounded acidity"
Colombia Pink Bourbon,Black Coffee In Black Jar,Medium-Light,Taiwan,Colombia,32,92,December 2019,"Crisply sweet, delicately tart. Pomegranate, grapefruit zest, magnolia, elm, maple syrup in aroma and cup. Sweet-tart structure with brisk acidity",Colombia La Guamera Honey,Origin Coffee Roasters,Medium-Light,Hawai'i,Caldas Department,Colombia,5.58,92,February 2019,"Crisp, high-toned, richly sweet. Strawberry, cocoa powder, honeysuckle, cedar, cashew butter in aroma and cup. Sweet-tart structure with bright acidity"
Guatemala Acatenango Geisha,Black Coffee In Black Jar,Medium-Light,Taiwan,Guatemala,32,92,December 2019,"Delicately sweet, floral toned. Narcissus, plum, cedar, cocoa nib, almond in aroma and cup. Deeply sweet in structure with gentle, rounded acidity",Moonbow Decaf Espresso,Paradise Roasters,Medium-Dark,United States,South America,Caldas Department,4.1,91,February 2019,"Evaluated as espresso. Bright, sweetly tart. Cocoa powder, hazelnut, orange zest, pomegranate, fir in aroma and small cup. Crisp, lightly syrupy mouthfeel"
Kenya Kiambu â€œSummer Loveâ€,Rotate Fun Club,Medium,Taiwan,Kenya,8.53,91,December 2019,"Rich-toned, deeply sweet. Date, magnolia, hazelnut, cedar, agave syrup in aroma and cup. Sweet in structure with round, gentle acidity",Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.11,91,February 2019,"Richly spice-toned, chocolaty. Dark chocolate, peppercorn medley, dried persimmon, gardenia, singed oak in aroma and cup. Sweet-toned structure with mild acidity"
El Salvador Pacamara Honey,Black Coffee In Black Jar,Medium,Taiwan,El Salvador,32,90,December 2019,"Sweetly wood-framed, spice-toned. Fresh-cut fir, date, baking chocolate, freesia, black peppercorn in aroma and cup. Sweet structure with low-toned acidity",Rwanda Mushonyi Natural,Amavida Coffee Roasters,Medium-Light,United States,Rustiro District,Western Province,8.8,94,February 2019,"Elegant, berry-toned, richly sweet. Blackberry coulis, elderflower, cacao nib, candycap mushroom, frankincense in aroma and cup. Sweet-tart structure with vibrant, juicy acidity"
Ethiopia Sidamo,Larry's Coffee,Medium,United States,Ethiopia,4.11,92,February 2020,"Richly sweet, roast-rounded. Dark chocolate, gardenia, gently scorched cedar, red plum, hazelnut in aroma and cup. Sweet structure with little discernible acidity",Rwanda Mushonyi,Amavida Coffee Roasters,Medium-Light,United States,Rustiro District,Western Province,8.8,91,February 2019,"Crisp, deeply sweet. Cacao nib, honeysuckle, dried apricot, fresh-cut fir, agave syrup in aroma and cup. Sweet-tart structure with pert acidity"
Ethiopia Sidamo,Joe Van Gogh,Medium-Light,United States,Ethiopia,4.11,90,February 2020,"Cleanly fruit-toned, aromatic wood-framed. Strawberry, sandalwood, almond butter, freesia-like flowers, maple syrup in aroma and cup. Sweet-tart structure with crisp, fruity acidity",Ethiopia Washed Kochere,Speedwell Coffee,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,92,February 2019,"Bright, richly sweet. Jasmine, guava, pine nut, maple syrup, Nutella in aroma and cup. Sweet-toned structure with crisp, citrusy acidity"
Sidamo Suke Quto,Signature Reserve,Medium,United States,Ethiopia,3.32,90,February 2020,"Cocoa- and citrus-toned. Orange zest, cocoa powder, magnolia, almond, oak in aroma and cup. Sweet-tart structure with brisk acidity",Feku Double,Barrington Coffee Roasting,Medium-Light,United States,Guji Zone,Oromia Region,11.76,93,February 2019,"Bright, crisp, sweetly tart. Apricot, almond, cocoa nib, cedar, honey in aroma and cup. Sweet-tart structure with juicy acidity"
Colombia,Eight O'Clock Coffee,Medium,United States,Colombia,1.49,88,February 2020,"Crisply sweet, cocoa-toned. Cocoa powder, scorched fir, raisin, hazelnut, a sweet-sour yogurt-like hint in aroma and cup. Bittersweet structure with pert acidity",Ethiopia Tadese Yonka,Gracenote Coffee Roasters,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.58,93,February 2019,"Fruit-centered, crisply sweet. Bing cherry, magnolia, oak, agave syrup, bakerâ€™s chocolate in aroma and cup. Sweet-toned structure with gentle acidity"
Sumatra Dark,Starbucks Coffee,Dark,United States,Indonesia,3.08,87,February 2020,"Roast-dominant, smoky-sweet. Dark chocolate, burned mesquite, lily, prune, fresh earth in aroma and cup. Bittersweet structure with barely perceptible acidity",Nano Challa Ethiopia,Tandem Coffee,Medium-Light,United States,Jimma Zone,Oromia State,5.29,93,February 2019,"High-toned, deeply sweet. Mango, gardenia, fresh-cut pine, molasses, hazelnut in aroma and cup. Sweet-tart structure with pert, lively acidity"
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,27.76,95,February 2020,Deeply and sweetly pungent,Kenya AB,Vermont Artisan Coffee & Tea,Medium,United States,South-Central Kenya,Santa Maria,5.29,94,February 2019,"Roast-touched, floral-toned, richly chocolaty. Narcissus, chocolate fudge, black cherry, almond, lightly scorched mesquite in aroma and cup. Sweet-toned structure with crisp, malic acidity, suggesting green apple"
Panama Hacienda La Esmeralda Geisha Natural Special Auction ES-N-2,Euphora Coffee,Medium-Light,Taiwan,Panama,45.31,94,February 2020,"Crisply sweet, fruit- and floral toned. Nectarine, jasmine, cocoa nib, sandalwood, maple syrup in aroma and cup. Sweetly tart structure with juicy, lively acidity",Ethiopia Hambela Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Guji Zone,Oromia Region,4.41,94,February 2019,"Balanced, fruit-toned, deeply sweet. Mulberry, wine barrel, dark chocolate, sandalwood, freesia in aroma and cup. Sweet-tart structure with wine-like acidity"
Ethiopia Guji Uraga Wolisho Natural,Euphora Coffee,Medium-Light,Taiwan,Ethiopia,6.23,91,February 2020,"Balanced, rich-toned. Pomegranate, baking chocolate, cedar, freesia, almond in aroma and cup. Sweet structure with brisk acidity",Tanzania Ngorongoro Ridge Peaberry,Flight Coffee Co.,Medium-Light,United States,Arusha Region,Northern Tanzania,4.7,95,February 2019,"High-toned, richly sweet-savory. Red currant, dark chocolate, tangerine zest, hop flowers, sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity"
Guatemala Maragogype La Providencia,Bird Rock Coffee Roasters,Medium-Light,United States,Guatemala,5.58,93,February 2020,"Richly sweet-tart, floral-toned. Pomegranate, wisteria, maple syrup, pink grapefruit zest, cocoa nib in aroma and cup. Tart-leaning structure with juicy, buoyant acidity",Ecuador Los Eucaliptos,Wonderstate Coffee,Medium-Light,United States,Chinchipe,Zamora Province,5.29,93,March 2019,"Sweetly herb- and spice-toned. Lemongrass, ripe plum, cinnamon, bakerâ€™s chocolate, sarsaparilla in aroma and cup. Tart-leaning structure with high-toned acidity"
Halo Hartume Espresso,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.26,94,January 2020,"Evaluated as espresso. Complex, richly sweet-savory. Jasmine, dark chocolate, cannabis flower, almond paste, tamarind in aroma and small cup. Viscous, syrupy body",Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,United States,Pichincha Province,North-Central Ecuador,7.61,93,March 2019,"Richly sweet-savory, spice-toned. Lemon verbena, mango, cacao nib, freesia-like flowers, almond butter in aroma and cup. Balanced, bittersweet structure with vibrant, juicy acidity"
Ethiopia Yetagesu Bulebula,Revel Coffee,Medium-Light,United States,Ethiopia,5.14,93,February 2020,"Bright, vibrant, sweetly tart. Apricot, pink grapefruit zest, jasmine, oak, cocoa nib in aroma and cup. High-toned, sweet-tart in structure with juicy acidity",Ecuador Finca Carolina Fausto Romo,PT's Coffee Roasting Co.,Medium-Light,United States,Pichincha Province,North-Central Ecuador,6.91,93,March 2019,"Rich-toned, deeply sweet and complexly engaging. Black cherry, dark caramel, hazelnut, magnolia-like flowers, cedar in aroma and cup. Sweet-toned structure with round, gentle acidity"
Ethiopia Guji Darii Kojowa Grade 1,Cloud City Coffee,Medium-Light,United States,Ethiopia,5.29,92,February 2020,"Richly fruit-centered, deeply sweet. Dried blueberry, magnolia, cashew, cedar, baking chocolate in aroma and cup. Sweet in structure with gentle, round acidity",Geisha Pasco Oxapampa Peru,Blues Brew Coffee,Medium-Light,Taiwan,Pasco Growing Region,Oxapampa,12.09,92,March 2019,"Crisply sweet, spice-toned. Candied pistachio, gardenia, cedar, sugar cane, apricot in aroma and cup. Bittersweet structure with round, gentle acidity"
Ethiopia Reko Estate Yirgacheffe,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,5.73,92,February 2020,"Sweet, quietly intense, floral-toned. Rose, sandalwood, cashew, lemon verbena, a hint of mace in aroma and cup. Crisp and balanced in structure",Finca Tasta Peru,Bird Rock Coffee Roasters,Medium-Light,United States,Satipo Province,Junin Region,6.91,93,March 2019,"Bright, juicy, sweetly and seductively tart. Blood orange zest, dried raspberry, ginger blossom, cocoa powder, sandalwood in aroma and cup. Balanced, sweet-tart structure with crisp, vibrant acidity"
Ethiopia Sidama Anaerobic,Paradise Roasters,Medium-Light,United States,Ethiopia,5.81,94,February 2020,"Sweet, soft, gently tart-pungent. Buttery dark chocolate, cashew butter, lemon drop, date, orange blossom in aroma and cup. Balanced and roundly complete in taste structure",Peru La Salina,Greater Goods Coffee Roasters,Medium-Light,United States,JaÃ©n Province,Cajamarca Region,5.29,93,March 2019,"Deeply rich, sweetly savory. Fine musk, toffee, red currant, sandalwood, narcissus-like flowers in aroma and cup. Bright, sweet-savory structure with juicy acidity"
Kenya Nyeri AA Ichuga,Jackrabbit Java,Medium,United States,Kenya,3.53,92,February 2020,"Rich-toned, chocolaty. Dark chocolate, red currant, freesia, clove, molasses in aroma and cup. Sweet structure with gentle, round acidity",Bolivia Yungas Caranavi Finca Las Alasitas Peaberry,Plat Coffee Roastery,Medium-Light,Hong Kong,Caranavi Province,La Paz Department,12.72,91,March 2019,"Delicate, gently fruit- and cocoa-toned. Pomegranate, cacao nib, narcissus-like flowers, roasted pistachio, honey in aroma and cup. Sweet-tart structure with gentle, rounded acidity"
Wolde Hirbe Natural Espresso,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.41,92,February 2020,"Evaluated as espresso. Crisply sweet, floral-toned. Molasses, plumeria, fir, date, orange zest in aroma and small cup. Full, creamy body",Ethiopia Hambela Alaka,Big Creek Coffee Roasters,Medium-Light,United States,Hambela Wamena District,Guji Zone,4.7,93,March 2019,"High-toned, crisply sweet-tart. Apricot, almond, maple syrup, narcissus-like flower, cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity"
Hacienda La Esmeralda Geisha Panama,Jackrabbit Java,Medium-Light,United States,Panama,13.23,91,February 2020,"Delicate, crisply sweet-tart. Mango, cedar, cocoa nib, sugar cane, a hint of honeysuckle in aroma and cup. Sweet in structure with crisp, citrusy acidity",100% Kona Bourbon,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Captain Cook,North Kona Growing District,13.23,93,March 2019,"Richly sweet-savory, cocoa-toned. Apricot, cocoa nib, maple syrup, jasmine, hint of marjoram in aroma and cup. Sweetly savory in structure with pert acidity"
La Coipa Peru,JBC Coffee Roasters,Medium-Light,United States,Peru,4.76,90,February 2020,"Rich, roundly bittersweet. Nutmeg, peach, caramel, spicy chocolate, carnation-like flowers in aroma and cup. Balanced and crisp in structure",Kona Naturals,Hala Tree Kona Coffee,Medium-Light,Hawai'i,Captain Cook,North Kona Growing District,13.23,92,March 2019,"Fruit-toned, richly sweet. Dried mango, coconut, freesia, honey, fir, a hint of aged grappa in aroma and cup. Sweet-toned structure with winy acidity"
Ethiopia Violent Andromeda Natural,Quartet Kaffe,Medium,Taiwan,Ethiopia,9.6,94,February 2020,"Richly, sweetly tart, deeply chocolaty. Dark chocolate fudge, grape candy, sandalwood, violet, magnolia in aroma and cup. Tartly sweet structure with vibrant, juicy acidity",Rwanda Rulindo Tumba,Big Creek Coffee Roasters,Medium-Light,United States,Rulindo,Rwanda,4.41,91,March 2019,"Richly sweet with savory undertones. Mulberry, rhododendron, agave syrup, oak, a hint of thyme in aroma and cup. Sweet-toned structure with round, gentle acidity"
Kenya Nyeri Yerihar AA Lot 1901 Espresso,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,95,February 2020,"Evaluated as espresso. Rich-toned, deeply sweet-savory. Black currant, dark chocolate, cedar, tamarind, freesia in aroma and small cup. Lively, syrupy mouthfeel",Guatemala Quejina,Revel Coffee,Medium-Light,United States,Region ConcepciÃ³n Huista,Huehuetenango Growing Region,4.85,92,March 2019,"Crisply sweet-tart, high-toned. Mandarin orange, candied violet, hazelnut, bakerâ€™s chocolate, fresh-cut fir in aroma and cup. Tart-leaning structure with brisk acidity"
Idido,Counter Culture Coffee,Medium-Light,United States,Ethiopia,4.41,93,February 2020," High-toned, crisply sweet-tart. Lemon zest, cocoa nib, freesia-like flowers, apricot, fresh-cut oak in aroma and cup. Tart-leaning structure with juicy, vibrant acidity",Flight Seasonal Espresso,Red Rooster Coffee Roaster,Medium-Light,United States,Costa Rica,Ethiopia,5.29,94,March 2019,"Evaluated as espresso. Dark chocolate, tangerine zest, black cherry, cedar, violet in aroma and small cup. Viscous, satiny mouthfeel"
Ethiopia FTO,Equator Coffees,Medium-Light,United States,Ethiopia,5.29,92,February 2020,"Crisp, delicately sweet-toned. Bergamot, Fig Newton, baking chocolate, magnolia, cedar in aroma and cup. Sweet structure with gentle, round acidity",Costa Rica Las Lajas Black Honey,Red Rooster Coffee Roaster,Medium-Light,United States,Sabanilla De Alajuela,Central Valley,5.73,93,March 2019,"Deeply sweet, elegantly fruit-forward. Raw honey, blackberry, sandalwood, lilac, baker's chocolate in aroma and cup. Sweet-toned structure with gentle, rounded acidity"
Birambo Village DR Congo,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.26,91,March 2020,"Rich-toned, sweetly savory. Dried apricot, baking chocolate, lily, cedar, toasted barley in aroma and cup. Sweet-savory structure with bright, balanced acidity",Eaagads Estate Kenya,Greater Goods Coffee Roasters,Medium-Light,United States,Kiambu County,South-Central Kenya,5.58,94,March 2019,"Nuanced, multi-layered, richly sweet-savory. Black currant, dark chocolate, sweet marjoram, narcissus, maple syrup in aroma and cup. Sweet-toned structure with savory underpinnings"
Birambo Village DR Congo Espresso,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.26,90,March 2020,"Evaluated as espresso. Richly sweet, floral-toned. Tea rose, almond, dark chocolate, date, cedar in aroma and small cup. Crisp, velvety mouthfeel",Ethiopia Guji,States Coffee & Mercantile,Medium-Light,United States,Guji Zone,Oromia Region,5.29,94,March 2019,"Richly sweet, spice-toned. Star jasmine, mango chutney, sandalwood, cacao nib, pink peppercorn in aroma and cup. Sweet-savory structure with crisp acidity"
KonAroma Direct Trade Kona,Jampot Poorrock Abbey,Medium,United States,Hawai'I,10.58,92,March 2020,"Richly sweet, floral- and nut-toned. Magnolia, cashew butter, cedar, maple syrup, red grape in aroma and cup. Sweet structure with gentle, round acidity",Ethiopia Yirgacheffe G1,Santos Coffee,Light,Hawai'i,Yirgacheffe Growing Region,Southern Ethiopia,3.56,94,March 2019,"Multi-layered and expressive. Star jasmine, cherry, maple syrup, cocoa nib, almond in aroma and cup. Sweetly tart structure with lively acidity"
Costa Rica Tarrazu Hacienda La Pradera,Jampot Poorrock Abbey,Medium,United States,Costa Rica,3.97,91,March 2020,"Crisply sweet, balanced. Apricot, cocoa nib, freesia-like flowers, brown sugar, oak in aroma and cup. Sweetly tart structure with pert, lively acidity",Kenya Karindundu AA Small Lot Reserve,Dragonfly Coffee Roasters,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,5.29,97,February 2019,"Lush, deeply floral, resonantly tropical. Plumeria, coconut, dark chocolate, tamarind, frankincense in aroma and cup. The structure is superbly balanced among sweet, savory and tart, with juicy-bright acidity. Plush, syrupy mouthfeel. The seemingly eternal finish sustains all of the flavor notes from the cup in ringing harmony."
Elida Natural Dragonfly Lot,Dragonfly Coffee Roasters,Medium-Light,United States,Panama,5.88,95,March 2020,"Rich-toned, fruit-forward, sweetly fermenty. Ripe blueberry, dark chocolate, Bourbon barrel, gardenia, molasses in aroma and cup. Sweet in structure with winy acidity",Sumatra Aceh Gayo Mountain Kenawat Raisin Honey,Small Eyes Cafe,Medium-Light,Taiwan,Gayo (Also Aceh) Growing Region,Aceh Province,6.8,93,April 2019,"Deep, rich, pungent. Fresh cantaloupe, tangerine zest, caramelly chocolate, sandalwood, magnolia-like flowers in aroma and cup. Roundly and sweetly brisk in structure"
Kona Laurina Pointu,Kona Farm Direct,Medium-Light,Hawai'i,Hawai'I,25.2,94,February 2020,"Intricate, pungent, deeply floral. Peach, pear, honeysuckle, black walnut, musk in aroma and cup. Brisk but very sweet in structure with a savory edge",Ketiara Sumatra,Barrington Coffee Roasting,Light,United States,Gayo (Also Aceh) Growing Region,Aceh Province,4.98,92,April 2019,"Sweetly pungent, earthy. Moist, fresh-fallen leaves, orange zest, fresh-cut pine, cocoa, lily in aroma and cup. Richly tart in structure, with a savory edge. Light but buoyant mouthfeel. The finish consolidates around cocoa, orange and a deep, lily-like floral note. "
Kona K7,Kona Farm Direct,Medium-Light,Hawai'i,Hawai'I,17.61,91,February 2020,"Balanced, agreeably round and sweet-toned. Toffee, table grape, pecan, clover blossom, a hint of malted barley in aroma and cup. Very sweet, gently citrusy structure",Sumatra Lintong,Peach Coffee Roasters,Medium,United States,Lintong Growing Region,North Sumatra Province,5,95,April 2019,"Simultaneously citrusy and floral, yet deeply resonant and tobacco-toned. Cocoa, pink grapefruit zest, perique (fermented) tobacco, sandalwood, aromatic orchid in aroma and cup. Sweetly and exhilaratingly tart in structure"
Kona SL34,Kona Farm Direct,Medium-Light,Hawai'i,Hawai'I,17.61,90,February 2020,"Crisply sweet, meadowy. Molasses, lilac, wheat grass, fresh cucumber, fresh-cut elm in aroma and cup. Delicately sweet-savory in structure",Ethiopia Natural Guji Hambela G1 Bishan Fugu,Kakalove Cafe,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.6,95,April 2019,"Brightly sweet, deeply pungent. Fine musk, black currant, bakerâ€™s chocolate, violet, oak in aroma and cup. Sweet-toned structure with juicy acidity"
Ethiopia Dimtu,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,6.17,95,February 2020,"Bright, balanced, aromatically nuanced. Nectarine, cocoa nib, star jasmine, sandalwood, a hint of lychee in aroma and cup. Sweetly tart structure with juicy acidity",Tanzania Tarime AB,Flight Coffee Co.,Medium-Light,United States,Mara Growing Region,Tarime,5,94,April 2019,"Crisply sweet-savory, balanced. Jasmine, toffee, peach, cedar, tamarind in aroma and cup. Sweet-savory structure with juicy, vibrant acidity"
Kona Double-Washed Black Rock Farm,Paradise Roasters,Medium-Light,United States,Hawai'I,5.86,92,February 2020,"Crisply sweet, deep-toned. Hazelnut butter, orange zest, baking chocolate, fresh-cut fir, freesia in aroma and cup. Sweet structure with crisp, citrusy acidity",El Salvador Cerro Las Ranas Honey Espresso,Kakalove Cafe,Medium-Light,Taiwan,Santa Ana Region,El Salvador,2.55,94,April 2019,"Evaluated as espresso. Graceful, complex, balanced. Pomegranate, dark chocolate, jasmine, pink peppercorn, fresh-cut cedar in aroma and small cup. Plush, satiny mouthfeel"
Ethiopia Wush Wush,Revel Coffee,Light,United States,Ethiopia,9.7,96,April 2020,"Richly aromatic, levitatingly high-toned. Lychee, passionfruit, dark chocolate, candied violet, sage in aroma and cup. Layered sweet-tart-savory structure with juicy, vibrant acidity",Blossom Single Origin Espresso,Plat Coffee Roastery,Medium-Light,Hong Kong,Bench Maji Zone,Southwestern Ethiopia,21.58,93,April 2019,"Evaluated as espresso. Juicy, buoyant, bright. Pineapple, sandalwood, cacao nib, magnolia, rose in aroma and small cup. Lightly syrupy, satiny in mouthfeel. Flavor consolidates and layers in a sweet, cocoa-toned finish with a continuing hint of pineapple. Delicate and crisp in three parts milk: sweet cocoa and flowers. "
Ethiopia Hassen Ware Akrabi,Indaba Coffee Roasters,Medium-Light,United States,Ethiopia,6.61,94,April 2020,"Delicate, sweetly tart, intricately balanced. Apricot, maple syrup, star jasmine, cedar, almond brittle in aroma and cup. Balanced, sweet-tart structure with high-toned acidity",Panama Baru Geisha Black,Kakalove Cafe,Medium-Light,Taiwan,Boquete Growing Region,Western Panama,15.58,94,April 2019,"Richly sweet-savory. Passionfruit, dark chocolate, hop flowers, almond butter, wine barrel in aroma and cup. Deep sweet-savory structure with wine-like acidity"
Ethiopia Sidama Bombe Natural,Fire Ridge Coffee,Medium,United States,Ethiopia,5.29,93,April 2020,"Cleanly fruit-forward. Ripe strawberry, bay (wood and leaf), cocoa nib, freesia-like flowers, pink peppercorn in aroma and cup. Sweet-savory structure with fruity acidity",Kenya Safari AB Top,Plat Coffee Roastery,Medium,Hong Kong,Kirinyaga County,South-Central Kenya,16.29,93,April 2019,"Rich, crisp and spicy. Complex aroma and flavor: blackcurrant, dried blackberry, sandalwood, blood orange zest, lavender. Deeply pungent in structure. Long, resonant finish"
Ethiopia Adame Garbota,Olympia Coffee Roasting,Medium-Light,United States,Ethiopia,5,93,April 2020,"Deep-toned, richly dry and pungent. Black tea, bergamot, baking chocolate, honeysuckle, oak in aroma and cup. Compelling bittersweet structure with crisp, citrusy acidity",No. 79 Blend Espresso,Kakalove Cafe,Medium,Taiwan,Colombia,Rwanda,2.97,92,April 2019,"Evaluated as espresso. Deeply sweet, chocolaty. Dark chocolate, hazelnut, vanilla, dried cherry, cedar in aroma and small cup. Buoyant, velvety mouthfeel"
Ethiopia Danse Mormora,Bluebeard Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,92,April 2020,"Rich, deeply sweet-toned. Narcissus, black cherry, cedar, cashew butter, agave syrup in aroma and cup. Sweet-tart structure with gentle, citrusy acidity",Colombia Monteblanco Purple Caturra Natural,Old Soul Co.,Light,United States,Palestina Region,Huila Department,5.58,90,March 2019,"Sweet, nut-toned. Pistachio, lilac, dried lemon zest, very ripe papaya, cedar in aroma and cup. Roundly sweet-tart in structure"
Ethiopia Keramo Washed,Dapper & Wise,Medium-Light,United States,Ethiopia,5.88,92,April 2020,"Crisply sweet-tart. Pineapple, baking chocolate, hazelnut, lily, fresh-cut fir in aroma and cup. Sweetly tart structure with pert acidity",Brazil Para Ela Natural,Durango Coffee Company,Medium-Light,United States,Campos Alto District,Minas Gerais State,4.69,93,March 2019,"Richly sweet, delicately fruit-toned. Strawberry, violet, cacao nib, cashew butter, fresh-cut cedar in aroma and cup. Balanced structure (sweet, tart, bitter) with vibrant acidity"
Costa Rica Luis Campos Anaerobic,Revel Coffee,Medium-Light,United States,Costa Rica,6.76,94,April 2020,"Rich, complex, multi-layered. Sweet baking spices, cocoa powder, lemon zest, lilac, sandalwood in aroma and cup. Deeply sweet structure with apple-like malic acidity",Tumba Rwanda,Corvus Coffee Roasters,Medium-Light,United States,Rulindo,Rwanda,5,92,March 2019,"Crisply sweet-savory, spice-toned. Cocoa powder, black cherry, sweet kabocha squash, freesia-like flowers, lemongrass in aroma and cup. Sweetly savory structure with gentle acidity"
Colombia Granja La Esperanza Tres Dragones,PT's Coffee Roasting Co.,Medium-Light,United States,Colombia,6.91,94,April 2020,"Deeply fruity, sweetly fermenty, headily floral. Strawberry coulis, brandy, almond butter, toffee, honeysuckle in aroma and cup. Richly sweet-tart structure with juicy, bright acidity",Ethiopia Harrar,Jampot Poorock Abbey,Medium-Dark,United States,Harar (Also Harrar) Growing Region Of Eastern Ethiopia,Rulindo,3.97,91,March 2019,"Crisp, sweetly and richly roast-toned. Scorched oak, raisin, dark chocolate, roasted hazelnut, dried spearmint, bitter orange zest in aroma and cup. Sweetly brisk and roasty in structure"
Kenya Wanjengi AA,Quartet Kaffe,Medium,Taiwan,Kenya,8.48,92,April 2020,"Richly sweet-savory, deep-toned. Date, hop flowers, maple syrup, cedar, cocoa nib in aroma and cup. Bittersweet structure with brisk acidity",KonAroma Direct Trade Kona,Jampot Poorock Abbey,Medium,United States,Kona Growing District,Big Island Of Hawaii,10.58,90,March 2019,"Deep, sweet, gently roasty. Orange zest, scorched cedar, cocoa, roasted cashew, a hint of lily in aroma and cup. Roasty pungent but sweet in structure"
Colombia Finca La Loma Microlot,BeanFruit Coffee Co.,Medium-Light,United States,Colombia,4.85,94,March 2020,"High-toned, sweetly tart. Bing cherry, cocoa nib, honeysuckle, cedar, a hint of thyme in aroma and cup. Sweet-tart structure with bright, juicy acidity. Full, syrupy mouthfeel. The engaging finish leads with notes of cherry and honeysuckle, and cocoa nib resurfaces in the long.",Peru Chirinois,Wild Goose Coffee Roasters,Medium-Light,United States,San Ignacio Province,Cajamarca Region,5.29,92,March 2019,"Balanced, deeply sweet, subtly spice-toned. Pear, almond, bakerâ€™s chocolate, wisteria, maple syrup in aroma and cup. Sweet-tart-savory structure with soft acidity"
